n_robots prey          seeds captures moves_min moves_max avg_moves std_moves converges moves_converged_min moves_converged_max avg_moves_converged std_moves_converged rumtimes_min(s) rumtimes_max(s) avg_rumtime(s) std_runtime avg_#moves_per_second
4        still         100   100      3         65        33.370    13.900    100       0                   55                  27.720              12.389              0.2745          6.4686          3.2370         1.3670      10.3344              
4        random        100   100      8         63        35.840    13.654    100       0                   88                  41.030              16.985              0.6444          6.2234          3.4930         1.3487      10.2906              
4        linear        100   100      4         121       82.750    30.274    100       0                   275                 92.620              54.875              0.3688          12.0314         7.7074         2.8489      10.7264              
4        linear\_smart 100   100      4         121       82.840    30.192    100       0                   407                 109.780             74.712              0.3534          12.0311         7.6581         2.8190      10.8115              
8        still         100   100      2         51        23.070    10.992    100       0                   44                  17.820              9.458               0.3548          10.1639         4.4872         2.1758      5.1714               
8        random        100   100      3         53        26.070    11.401    100       0                   55                  30.690              13.911              0.5828          11.2146         5.1409         2.2651      5.0782               
8        linear        100   100      5         103       41.320    29.684    100       0                   286                 43.450              40.506              0.9013          20.6260         8.0201         5.7829      5.1653               
8        linear\_smart 100   100      5         103       41.440    29.798    100       0                   253                 47.850              44.482              0.9343          20.8821         8.1189         5.8213      5.1103               
